COUNTRY_CODE,COUNTRY
AUS,Australia
AUT,Austria
BEL,Belgium
BRA,Brazil
CAN,Canada
CHE,Switzerland
CHL,Chile
CHN,China
COL,Colombia
CZE,Czech Republic
DEU,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRA,France
GBR,United Kingdom of Great Britain
GRC,Greece
HUN,Hungary
IDN,Indonesia
IND,India
IRL,Ireland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,South Korea
LUX,Luxembourg
MEX,Mexico
NLD,Netherlands
NOR,Norway
NZL,New Zeland
POL,Poland
PRT,Portugal
RUS,Russia
SVN,Slovenia
SWE,Sweden
TUR,Turkey
USA,United States of America
